id,txid,timestamp,contractAddress,tokenId,owner,resource,amount,blockNumber
,0xc9cdef884ec43b2a43629e34347e5a2b53c82faf8b0c01d3b701665ef4be3c57,2024-08-22T21:09:27.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1805,0x8446117bF01FBd24996f2223f50036D1b0e7663C,coconut,20000000000000000000,60915381
,0x82f26fec11ea6db1592c3c6d9c3c1d147b915f278cf5e791345edea8098b2715,2024-08-22T21:12:41.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1687,0x8446117bF01FBd24996f2223f50036D1b0e7663C,coconut,12000000000000000000,60915472
,0x63218d458a75d69b08abf21b72b5b5b10e8e24fd7d8539a65d85719c2f76208f,2024-08-22T21:25:59.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,909,0xd8106418afaA5521e553Daa55574d474e930eA02,fish,16000000000000000000,60915848
,0x3cc4979a90a36678f43900242232f89e849caf21ccee1843d34b91cc464fd397,2024-08-23T20:28:27.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,300,0x54E24ca5423BEDaBb832E462222D67eD8dce70de,coconut,20000000000000000000,60954673
,0x4754295cf18031dc84c0d34e65307e059dc2ecc9092a829087b9f4a34fe7545d,2024-08-24T04:44:09.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,559,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,fish,19000000000000000000,60968364
,0xc03952bf3f5f41ce0b6324169e2bafc5aaab61281aee8f58448cc2d4ed714469,2024-08-24T19:14:20.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,2148,0x8cA010fFF56976CeC6ebAF66A5f3f6812236aa8e,fish,25000000000000000000,60992448
,0x4ba6b14c33b6c18681292c6043cddb1f420a1fc4c59501381a78cd688309c3a5,2024-08-25T05:07:22.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1508,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,fish,21000000000000000000,61008955
,0x8aa2d57eff0523f2408f44e46eff37903af70739ccd66878a751d751e0218761,2024-08-25T14:35:37.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,2423,0x60c5c003FFaee8deA12afbbda7481D5CBd5CC382,coconut,12000000000000000000,61024661
,0x1794e7da7451bc76404cf0918aba4384d36aa48e8bc8388a206c588593ce059b,2024-08-26T10:56:16.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,111,0x52904ad47ec751E1a9f87DE4d286761Dd85a7f76,wood,750000000000000000,61058527
,0x1794e7da7451bc76404cf0918aba4384d36aa48e8bc8388a206c588593ce059b,2024-08-26T10:56:16.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,111,0x52904ad47ec751E1a9f87DE4d286761Dd85a7f76,fish,5000000000000000000,61058527
